OPC-N3 Iss1.1 FirmwareVer=1.17a_02c.......................BS
 OPC-N3 177091518                                           
Config info:
LaserDAC,53
FanDAC,255
ToFtoSFRfactor,62
PVP(us/48),48
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23
BoundaryADC,14,40,80,120,145,215,340,590,846,1363,2029,2848,4119,5527,7076,8624,10204,11815,13457,15897,18305,20698,22966,25140,27158
Boundary_um,0.350,0.460,0.660,1.000,1.300,1.700,2.300,3.000,4.000,5.200,6.500,8.000,10.000,12.000,14.000,16.000,18.000,20.000,22.000,25.000,28.000,31.000,34.000,37.000,40.000
BinWeighting,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SamplingPeriod(s),SFR(ml/s),Temp(C),RH(%),PM_1.000(ug/m^3),PM_2.500(ug/m^3),PM_10.000(ug/m^3),#RjtGlitch,#RjtLong,#RjtRatio,#RjtRange,#FanRevs,LaserStatus
30,1,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,41,37,0,0.680,3.510,24.311,43.798,2.240,6.957,8.042,9,0,37,10,0,583
32,9,2,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,42,40,0,0.680,3.630,24.311,43.774,2.801,10.969,13.110,5,0,38,8,0,583
34,7,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,31,32,0,0.680,3.740,24.311,43.737,2.280,6.820,8.359,5,0,37,10,0,583
32,2,2,0,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,39,0,0.680,3.710,24.311,43.691,1.758,12.498,70.017,4,0,41,8,0,583
27,3,1,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,36,33,0,0.680,3.710,24.327,43.691,1.626,12.433,46.573,3,0,33,5,0,583
41,10,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,0,0.680,3.850,24.354,43.659,2.165,4.204,4.439,1,0,43,7,0,584
29,3,5,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,29,34,0,0.680,3.830,24.340,43.645,2.734,8.270,9.390,1,0,40,9,0,583
40,3,3,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,33,42,43,0.680,3.900,24.311,43.665,2.472,13.861,28.778,4,0,28,4,0,583
28,4,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0.680,3.950,24.354,43.659,1.358,4.733,7.931,3,0,39,6,0,583
32,6,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,35,39,0,0.680,3.930,24.340,43.656,2.111,7.621,9.287,3,0,37,9,0,583
38,4,1,3,3,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,36,35,0,0.680,3.980,24.367,43.565,2.676,19.057,99.136,4,0,44,14,0,583
35,4,6,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,42,0,0.680,4.020,24.354,43.587,2.745,11.582,15.949,6,0,35,8,0,583
38,5,2,5,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,35,35,0,0.680,4.060,24.367,43.578,3.274,21.208,29.995,6,0,40,3,0,583
36,5,4,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,30,0,42,0.680,4.050,24.410,43.546,2.311,10.195,23.180,7,0,34,5,0,583
39,5,3,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,39,36,0,0.680,4.010,24.410,43.569,2.539,10.809,13.339,9,0,32,7,0,582
35,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,0,0,0.680,3.890,24.383,43.555,2.009,4.092,4.256,1,0,36,1,0,582
32,4,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,40,0,0.670,3.850,24.367,43.601,2.149,8.241,12.349,3,0,42,9,0,583
